GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
teamwork-gateway,com.teamwork.gateway.config,AsyncConfig,0,31,0,0,0,10,0,4,0,4
teamwork-gateway,com.teamwork.gateway.config,AsyncConfig.CustomAsyncExceptionHandler,0,23,0,0,0,3,0,2,0,2
teamwork-gateway,com.teamwork.gateway.event,TaskStatusChangeEvent,0,22,0,0,0,8,0,4,0,4
teamwork-gateway,com.teamwork.gateway.memory,RedisChatMemory,10,121,3,5,4,33,3,8,0,7
teamwork-gateway,com.teamwork.gateway.memory,ChatMessageDto,16,48,4,6,4,13,4,4,0,2
teamwork-gateway,com.teamwork.gateway.controller,SseController,0,5,0,0,0,1,0,1,0,1
teamwork-gateway,com.teamwork.gateway.controller,TaskController,0,19,0,0,0,5,0,1,0,1
teamwork-gateway,com.teamwork.gateway.controller,PingController,0,19,0,2,0,4,0,3,0,2
teamwork-gateway,com.teamwork.gateway,TeamworkGatewayApplication,5,3,0,0,2,1,1,1,1,1
teamwork-gateway,com.teamwork.gateway.service,TaskService,0,48,0,0,0,11,0,2,0,2
teamwork-gateway,com.teamwork.gateway.service,SseConnectionService,31,114,1,7,9,29,4,7,3,4
teamwork-gateway,com.teamwork.gateway.exception,GlobalExceptionHandler,0,34,0,0,0,11,0,3,0,3
teamwork-gateway,com.teamwork.gateway.agent,MasterAgent,0,101,0,2,0,27,0,4,0,3
teamwork-gateway,com.teamwork.gateway.entity,TaskRecord,0,11,0,0,0,5,0,2,0,2
